Empresa;Div.Liq_menos_Luc.Liq;Dividendos;Luc.Operacional;PVP_menor5;Liq_sobre_Ebita_menor2;Ano_mercado_maior10;PL_menor10;Roe_maior15;Roa_maior10Roic_maior12;Tag_along100;Free_float50;Soma_total;Formula_Graham;Cotacao
INVESTIMENTOS BEMGE S.A.;1;0;0;1;1;1;;0;;0;0;5;73.95;11.99
FINANSINOS S.A. - CREDITO FINANC. E INVEST.;1;0;1;1;1;1;;0;;0;0;7;42.5;14.25
TEKA;0;0;0;1;1;1;;0;;0;0;4;0.0;8.23
HERCULES S.A. FABRICA DE TALHERES;0;0;1;1;0;1;;0;;0;0;6;0.0;96.0
LOCAMERICA;0;0;1;1;0;1;;0;;1;0;4;14.13;24.15
BANCO INTER;0;0;0;1;1;1;;0;;0;0;3;0.0;3.49
CEEE-GT;0;0;1;1;1;1;;0;;0;0;7;533.07;294.77
BRASIL BROKERS;0;0;0;0;1;1;;0;;1;0;4;0.0;0.8
CESP;1;0;0;1;1;1;;0;;0;0;5;73.74;25.0
MOSAICO - ZOOM;1;0;1;1;1;1;;0;;1;0;6;5.56;8.24
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.;1;0;1;1;1;1;;0;;1;0;6;10.68;10.9
ENCORPAR;1;0;0;1;0;1;;0;;0;0;4;0.0;90.25
NOTRE DAME INTERMÉDICA;0;0;1;1;0;0;;0;;0;0;3;0.0;0.0
LOJAS AMERICANAS;1;0;1;1;1;1;;0;;1;1;7;7.71;15.08
IGUATEMI;0;0;1;1;0;1;;0;;1;0;4;26.33;29.49
CIA HERING;1;0;1;1;1;1;;0;;1;0;6;9.35;38.52
TERRA SANTA AGRO;0;0;1;1;0;1;;0;;1;0;5;0.0;22.43
B2W DIGITAL;1;0;1;1;1;1;;0;;1;0;7;0.0;14.67
LINX;1;0;1;1;0;1;;0;;1;1;7;0.0;37.34
SMILES;1;0;1;1;1;1;;1;;1;0;9;16.0;22.4
MMX MINERAÇÃO E METÁLICOS S.A.;0;0;1;1;1;1;;0;;1;0;6;0.0;14.0
BIOSEV;1;0;1;1;1;1;;0;;1;0;7;0.0;9.0
BANCO BANPARA;1;0;0;1;1;1;;0;;0;0;6;234.04;132.71
FERROVIA CENTRO-ATLÂNTICA S.A.;0;0;0;1;1;1;;0;;0;0;4;0.0;5.0
METALGRÁFICA IGUAÇU S.A.;1;0;0;1;0;1;;0;;0;0;4;0.0;5.21
TREVISA;1;0;1;1;1;1;;0;;0;0;6;9.45;0.33
TEKNO S.A.;1;0;1;1;1;1;;0;;0;1;8;143.34;56.88
MANGELS INDUSTRIAL;0;0;1;0;0;1;;0;;0;0;4;69.27;74.1
